activeaddresses,confirmationtime,difficulty,difficulty30ema,difficulty30mom,difficulty30roc,difficulty30sma,difficulty30trx,difficulty30var,difficulty3ema,difficulty3trx,difficulty3wma,difficulty7ema,difficulty7trx,difficulty7wma,difficulty90mom,difficulty90roc,difficulty90var,difficulty90wma,fee_to_rewardUSD,hashrate3var,hashrate7mom,median_transaction_feeUSD,mediantransactionvalueUSD,mining_profitability,mining_profitability90trx,price30wmaUSD,price3momUSD,price3rocUSD,price3rsiUSD,price7rsiUSD,price90smaUSD,sentinusd90stdUSD,top100cap,top100cap30rsi,top100cap7roc,top100cap90rsi,transactions,transactionvalueUSD,category
75756,7.273,6695826.0,5385392.0,2327950.0,53.297,5182950.0,1.046,901878886924.0,6690038.0,0.845,6695826.0,6526779.0,2.593,6695826.0,3716190.0,124.72,1168545930405.0,4430808.0,0.867,2.079767657662e+25,13397517677322.0,0.0474,64.987,7220.0,0.091,66.298,8.125,9.383,99.456,96.992,32.485,88825639,19.962,65.405,2.66,50.301,52572,2592.0,1
91875,7.956,6695826.0,5469936.0,2327950.0,53.297,5260549.0,1.085,950005633515.0,6692932.0,0.52,6695826.0,6569041.0,2.333,6695826.0,3716190.0,124.72,1243754847226.0,4492115.0,1.338,2.0713086749713e+25,11610334523600.0,0.0539,94.955,7990.0,0.10400000000000001,69.605,20.295,23.206,99.811,98.20100000000001,33.536,100243842,20.024,66.711,2.207,50.893,63095,4400.0,1
107142,8.229,6695826.0,5549026.0,2327950.0,53.297,5338147.0,1.122,986089374520.0,6694379.0,0.314,6695826.0,6600737.0,2.064,6695826.0,3716190.0,124.72,1315553871298.0,4552514.0,1.5959999999999999,4.8025113912307e+24,14571769384665.0,0.06,102.53299999999999,8852.0,0.11699999999999999,73.541,30.953000000000003,34.759,99.902,98.75200000000001,34.722,110663079,19.987000000000002,65.191,1.6119999999999999,50.53,63766,4478.0,0
108890,9.351,6695826.0,5623013.0,2327950.0,53.297,5415745.0,1.1540000000000001,1010130109937.0,6695103.0,0.187,6695826.0,6624509.0,1.801,6695826.0,3716190.0,124.72,1383943002621.0,4612006.0,1.9480000000000002,7.8518520648237e+24,1791589943283.0,0.0618,123.314,8777.0,0.132,77.521,28.846,30.456,99.919,98.869,35.948,119905933,19.99,65.257,1.4269999999999998,50.559,66738,4249.0,0
100034,9.113999999999999,7005058.0,5712177.0,2637182.0,60.376999999999995,5503651.0,1.1840000000000002,1049998827349.0,6850081.0,0.6890000000000001,6850442.0,6719647.0,1.6340000000000001,6773134.0,4025422.0,135.09799999999998,1468006625051.0,4677386.0,1.432,1.2046170075955e+25,-7255263677346.0,0.0643,125.18299999999999,9950.0,0.147,81.643,20.915,19.410999999999998,99.941,99.022,37.231,126900119,19.833,59.122,-0.14,49.033,61215,4348.0,0
83086,8.834,7673000.0,5838682.0,3305124.0,75.669,5613822.0,1.216,1151730788639.0,7261540.0,2.167,7287490.0,6957985.0,1.673,7006384.0,4693363.0,157.515,1595799220682.0,4756464.0,0.9470000000000001,1.7242688745382e+25,3720072498166.0,0.0671,90.165,8923.0,0.163,85.92299999999999,14.110999999999999,11.759,99.959,99.164,38.576,128594677,19.833,59.132,-0.618,49.037,51555,3458.0,0
87097,8.78,7673000.0,5957025.0,3305124.0,75.669,5723993.0,1.248,1229187540768.0,7467270.0,2.7030000000000003,7561676.0,7136739.0,1.756,7204734.0,4693363.0,157.515,1718152888140.0,4834395.0,1.3019999999999998,2.4413818826086e+25,8156539106339.0,0.071,64.295,9411.0,0.179,90.515,18.518,14.987,99.975,99.329,40.008,129459248,19.767,56.711000000000006,-0.39899999999999997,48.403999999999996,63377,2445.0,0
113894,9.29,7673000.0,6067733.0,3305124.0,75.669,5834164.0,1.2790000000000001,1282369083736.0,7570135.0,2.48,7673000.0,7270804.0,1.81,7368185.0,4555363.0,146.116,1838692472962.0,4911181.0,1.183,3.8832444820572e+23,-2153978562288.0,0.0818,130.618,10124.0,0.196,96.27600000000001,34.896,27.122,99.99,99.587,41.677,134573612,19.689,54.048,-1.368,47.678999999999995,61525,4044.0,0
112075,8.182,7673000.0,6171299.0,3305124.0,75.669,5944335.0,1.308,1311275417545.0,7621567.0,1.955,7673000.0,7371353.0,1.8090000000000002,7496738.0,4423450.0,136.125,1957321566010.0,4986854.0,1.11,1.0316651638085e+24,3266046873820.0,0.0977,193.144,13352.0,0.215,103.83200000000001,61.283,45.695,99.99600000000001,99.75200000000001,43.696000000000005,151305561,19.714000000000002,54.763000000000005,-1.546,47.935,66803,6073.0,0
133453,7.539,7673000.0,6268182.0,3305124.0,75.669,6054505.0,1.335,1315906542194.0,7647284.0,1.412,7673000.0,7446765.0,1.755,7590391.0,4423450.0,136.125,2071119322547.0,5061446.0,1.34,8.456090013351299e+24,9936136292429.0,0.0892,339.149,12305.0,0.235,109.97399999999999,36.419000000000004,25.633000000000003,68.465,79.994,45.527,176454530,19.762,56.115,-1.123,48.425,63690,8125.0,0
